word,count
good,428630
food,396478
place,310190
would,265694
like,247858
time,206073
service,191433
get,182484
one,178653
really,176705
great,164773
go,150075
ordered,136911
restaurant,136474
back,135319
order,133275
pretty,128945
also,118743
chicken,117239
nice,115590
little,113107
menu,108579
table,102630
came,100115
much,98217
come,98071
could,97704
better,92580
try,92539
price,91056
drink,90599
sauce,89001
bit,88628
star,88485
dish,84750
well,84626
pizza,83387
think,81397
even,77663
make,75167
though,75147
first,73864
flavor,73674
burger,73362
people,73160
cheese,70857
salad,69813
went,69163
ok,68278
meal,68188
bad,68020
bar,67938
side,67735
taste,67567
lot,67308
way,67218
friend,67200
lunch,65260
two,64994
wait,64413
still,64325
best,63904
give,63556
small,63086
say,62657
want,62165
nothing,61480
definitely,61144
know,60380
night,59913
experience,59837
staff,59794
server,59744
however,58633
love,58591
decent,58120
minute,57377
friendly,57235
sandwich,56546
made,56542
always,56467
overall,56218
something,55992
day,55402
going,55113
sure,54832
around,54293
area,53932
take,53616
dinner,53509
location,53320
delicious,52558
roll,52006
fry,51656
fresh,51564
said,51549
special,51511
rice,51511
since,51274
kind,51117
