word,count
food,2648451
good,2256064
place,2226059
great,1622564
time,1426804
like,1374453
would,1355059
service,1297635
one,1236530
get,1194924
back,1032971
go,1024762
really,1018729
restaurant,932724
order,901605
also,853833
ordered,815473
chicken,745226
delicious,728137
best,693653
menu,672126
nice,668056
love,655860
come,643301
well,638197
even,626294
try,624025
pizza,617422
could,606149
table,602983
came,601989
little,593145
always,567079
make,562959
definitely,551319
drink,546866
sauce,540672
staff,523868
friendly,517218
pretty,511551
first,510588
much,503654
dish,495917
wait,490838
fresh,488001
price,484569
amazing,483423
people,480085
meal,472833
went,472765
never,463963
cheese,460654
flavor,451048
better,447765
made,445688
experience,443980
friend,443520
salad,431079
two,416741
bar,416096
know,413220
burger,410719
day,410201
way,403585
lunch,403552
minute,399019
say,398805
night,397556
want,394149
star,392319
think,387194
going,385584
take,381332
bit,378194
right,378058
everything,377598
taste,376656
side,376517
sandwich,374105
server,372582
dinner,370374
lot,369010
ever,368887
still,363223
small,352733
favorite,352270
around,347503
location,343487
said,341447
give,341401
area,338511
sure,338099
recommend,331671
coffee,326074
though,323159
tried,320539
bad,320456
roll,318630
hour,312303
review,308442
fried,308038
new,307771
since,307748
sweet,307223
something,307197
sushi,307130
meat,306045
rice,302536
hot,302087
next,301125
tasty,297723
beer,296547
many,295378
every,294946
worth,291530
customer,290335
super,287264
long,287101
special,286011
taco,281570
fry,281072
took,277857
another,276845
asked,275903
spot,275510
see,275394
option,272656
quality,269975
excellent,269188
cream,263698
last,263375
find,261604
atmosphere,259569
bread,258100
soup,257571
breakfast,257279
portion,254493
awesome,253388
year,251116
kind,249817
enough,249691
big,244959
perfect,243726
pork,243355
need,242676
visit,242285
happy,240463
feel,238503
spicy,234738
plate,232127
