iteration,logloss,datetime_start,datetime_complete,duration,depth,n_estimators,l2_leaf_reg,learning_rate,min_data_in_leaf,one_hot_max_size,scale_pos_weight,state
68,0.15785499439325748,2022-04-16 01:08:42.596267,2022-04-16 01:11:51.529482,0 days 00:03:08.933215,10,420,0.00029402466989440095,0.09609042139346312,12,9,0.9877385995684106,COMPLETE
55,0.1582954310835362,2022-04-16 00:27:43.805445,2022-04-16 00:30:49.795871,0 days 00:03:05.990426,9,460,3.2470817836011197e-06,0.09736439803881924,16,8,0.9518032823682592,COMPLETE
97,0.15839887525124674,2022-04-16 02:40:06.082653,2022-04-16 02:43:15.393359,0 days 00:03:09.310706,9,480,6.116728662012559e-05,0.07462867203438642,16,10,0.9833334499450117,COMPLETE
90,0.15845880970213,2022-04-16 02:17:41.624883,2022-04-16 02:20:54.565604,0 days 00:03:12.940721,10,470,0.00020824049429122367,0.080884268233111,14,10,0.9344662354043071,COMPLETE
91,0.1584661555190997,2022-04-16 02:20:54.565744,2022-04-16 02:24:07.427174,0 days 00:03:12.861430,10,470,0.00019883998312503594,0.07872385013463518,15,10,0.930864755160553,COMPLETE
66,0.15862004591919956,2022-04-16 01:02:23.837382,2022-04-16 01:05:33.155910,0 days 00:03:09.318528,10,430,5.177460416834421e-05,0.09746276485812334,16,9,0.9843402628698134,COMPLETE
98,0.15863962940626977,2022-04-16 02:43:15.393516,2022-04-16 02:46:23.511750,0 days 00:03:08.118234,9,470,0.00013557818881676222,0.08119083974346994,15,10,0.9854519855256014,COMPLETE
65,0.1587071421450256,2022-04-16 00:59:13.991971,2022-04-16 01:02:23.837256,0 days 00:03:09.845285,10,430,0.00012062491461358414,0.09890099419152712,16,9,0.994172514796985,COMPLETE
69,0.1587868032283106,2022-04-16 01:11:51.529630,2022-04-16 01:15:01.220576,0 days 00:03:09.690946,10,420,0.000751391085960425,0.09945800102196446,12,11,0.9975486707571867,COMPLETE
77,0.15888562546403492,2022-04-16 01:37:07.808588,2022-04-16 01:40:17.673506,0 days 00:03:09.864918,10,420,0.0016035630619545692,0.07396064416958154,11,10,0.9666600869028393,COMPLETE
58,0.1589300517068702,2022-04-16 00:37:02.314726,2022-04-16 00:40:16.435891,0 days 00:03:14.121165,10,470,0.00012129837023221438,0.06363499011804317,16,8,0.8935947647239582,COMPLETE
46,0.15895370792304922,2022-04-15 23:59:32.164965,2022-04-16 00:02:43.459684,0 days 00:03:11.294719,10,480,5.6859557264936784e-05,0.059188388821128396,18,20,0.9614544557048728,COMPLETE
73,0.15895402128006123,2022-04-16 01:24:29.069569,2022-04-16 01:27:37.914240,0 days 00:03:08.844671,10,400,0.00018860096787466936,0.0985880174807578,12,12,0.9700410303471991,COMPLETE
67,0.1590108618435066,2022-04-16 01:05:33.156034,2022-04-16 01:08:42.596147,0 days 00:03:09.440113,10,430,0.00022397600066681724,0.09522662949587303,14,9,0.9984658004215008,COMPLETE
99,0.1591976895665582,2022-04-16 02:46:23.511890,2022-04-16 02:49:30.353964,0 days 00:03:06.842074,9,430,0.00017502011985619852,0.08389599585442353,15,10,0.9831413638443824,COMPLETE
92,0.15926086711270734,2022-04-16 02:24:07.427312,2022-04-16 02:27:19.637469,0 days 00:03:12.210157,10,470,0.0008293253440090291,0.06525471238388829,16,10,0.9315561402874725,COMPLETE
94,0.15947894260791184,2022-04-16 02:30:32.643538,2022-04-16 02:33:40.834014,0 days 00:03:08.190476,9,460,0.0006557529858730238,0.07388350904289838,15,10,0.9024784386769741,COMPLETE
83,0.1597767891562689,2022-04-16 01:55:57.026415,2022-04-16 01:59:06.760898,0 days 00:03:09.734483,10,420,0.00036174092110860404,0.09919106012045857,12,11,0.8912384881201733,COMPLETE
52,0.15984930958087634,2022-04-16 00:18:23.625625,2022-04-16 00:21:30.069923,0 days 00:03:06.444298,9,460,1.0345885102468133e-05,0.06576728696731078,19,7,0.9430505323434618,COMPLETE
44,0.15990615630135183,2022-04-15 23:53:16.957145,2022-04-15 23:56:24.415396,0 days 00:03:07.458251,9,490,3.7884681505079324e-05,0.05488429228244963,17,19,0.919487255752781,COMPLETE
51,0.15990767705985187,2022-04-16 00:15:17.390860,2022-04-16 00:18:23.625509,0 days 00:03:06.234649,9,460,3.3480534751142094e-05,0.060261291799059175,18,7,0.9389355232021207,COMPLETE
95,0.15993847513622575,2022-04-16 02:33:40.834155,2022-04-16 02:36:52.635720,0 days 00:03:11.801565,10,450,1.0505723368210135e-08,0.05693008334148189,15,8,0.8549347673159539,COMPLETE
82,0.15999731001704065,2022-04-16 01:52:46.661581,2022-04-16 01:55:57.026284,0 days 00:03:10.364703,10,440,0.0001619238172089969,0.07614273724688292,13,9,0.9719034743730914,COMPLETE
72,0.16001210492313692,2022-04-16 01:21:18.983253,2022-04-16 01:24:29.069417,0 days 00:03:10.086164,10,430,0.0004972954909832139,0.09533832766930851,13,9,0.9980824073169193,COMPLETE
63,0.16010152215790208,2022-04-16 00:52:49.984909,2022-04-16 00:55:59.482663,0 days 00:03:09.497754,10,450,0.00010455194143099808,0.06012432298320687,15,10,0.8921310332306279,COMPLETE
62,0.16019038967902868,2022-04-16 00:49:44.825727,2022-04-16 00:52:49.984783,0 days 00:03:05.159056,9,450,2.945585795309783e-05,0.07225365392696025,17,7,0.8141261892667638,COMPLETE
87,0.16029212764423026,2022-04-16 02:08:22.330575,2022-04-16 02:11:28.083861,0 days 00:03:05.753286,10,320,0.002520637067704375,0.07599507160762657,9,8,0.8697229617255011,COMPLETE
53,0.16044533321485605,2022-04-16 00:21:30.070047,2022-04-16 00:24:37.333990,0 days 00:03:07.263943,9,470,3.275918431321571e-06,0.07273966679756674,17,7,0.8309545790189593,COMPLETE
33,0.16066838795635707,2022-04-15 23:19:10.020774,2022-04-15 23:22:10.495705,0 days 00:03:00.474931,7,410,0.01171300916776884,0.09398880353280002,20,20,0.8504300369194087,COMPLETE
39,0.16075862455602596,2022-04-15 23:37:25.688187,2022-04-15 23:40:37.304129,0 days 00:03:11.615942,10,480,1.2061825297319263e-05,0.044384590469207154,19,19,0.9120582855476472,COMPLETE
78,0.1611637606071238,2022-04-16 01:40:17.673643,2022-04-16 01:43:27.472803,0 days 00:03:09.799160,10,420,5.348441804410501e-05,0.0708075189106338,11,11,0.8553754745553731,COMPLETE
41,0.16142292816476123,2022-04-15 23:43:49.543080,2022-04-15 23:46:56.228305,0 days 00:03:06.685225,9,460,1.170050231955884e-05,0.04712722262313213,19,19,0.9093642287522492,COMPLETE
71,0.1615946887177078,2022-04-16 01:18:09.111083,2022-04-16 01:21:18.983131,0 days 00:03:09.872048,10,420,0.00025749892224317397,0.09905585362167986,12,9,0.994680825766695,COMPLETE
93,0.16160567873708154,2022-04-16 02:27:19.637610,2022-04-16 02:30:32.643374,0 days 00:03:13.005764,10,480,0.000294547287127468,0.039608001007710676,14,9,0.9476293042287267,COMPLETE
89,0.16196553162159094,2022-04-16 02:14:34.318355,2022-04-16 02:17:41.624744,0 days 00:03:07.306389,10,360,0.00044311148488035363,0.05238621746655372,12,12,0.9838863665476383,COMPLETE
43,0.16202798500458254,2022-04-15 23:50:08.895684,2022-04-15 23:53:16.957032,0 days 00:03:08.061348,9,500,3.3448240574244325e-05,0.055342590074091494,18,17,0.9240410017590754,COMPLETE
76,0.16214813099023268,2022-04-16 01:33:56.826905,2022-04-16 01:37:07.808437,0 days 00:03:10.981532,10,390,0.0005941209608114032,0.044700343279237977,10,12,0.8943113391455251,COMPLETE
80,0.16242991715917532,2022-04-16 01:46:27.040700,2022-04-16 01:49:36.645096,0 days 00:03:09.604396,10,410,0.0016521631797806861,0.0486881287426393,14,10,0.7762741781506743,COMPLETE
