iteration,logloss,datetime_start,datetime_complete,duration,depth,n_estimators,l2_leaf_reg,learning_rate,min_data_in_leaf,one_hot_max_size,scale_pos_weight,state
59,0.11684808205604366,2022-04-20 02:30:47.107030,2022-04-20 02:32:07.928794,0 days 00:01:20.821764,9.0,410.0,0.009100566104195795,0.09716267842854127,8.0,8.0,0.9926878059625376,COMPLETE
88,0.11703201953412089,2022-04-20 03:09:22.592748,2022-04-20 03:10:44.875850,0 days 00:01:22.283102,10.0,360.0,0.01687200132816146,0.06973568211824095,8.0,2.0,0.923499291802207,COMPLETE
82,0.11706367357479719,2022-04-20 03:01:08.764415,2022-04-20 03:02:32.595854,0 days 00:01:23.831439,10.0,410.0,0.013863712522146859,0.07368803393562046,9.0,4.0,0.9601202029449207,COMPLETE
86,0.11711211694130329,2022-04-20 03:06:37.055202,2022-04-20 03:07:59.706302,0 days 00:01:22.651100,10.0,370.0,0.014000179441277225,0.06852778652967735,8.0,2.0,0.9226572414383749,COMPLETE
93,0.11711491517875439,2022-04-20 03:16:07.881996,2022-04-20 03:17:29.886996,0 days 00:01:22.005000,10.0,360.0,0.0025438043289651453,0.07355328364490059,8.0,2.0,0.9339187254142168,COMPLETE
94,0.11715074355149876,2022-04-20 03:17:29.887142,2022-04-20 03:18:51.538398,0 days 00:01:21.651256,10.0,330.0,0.01725179102638191,0.07526611591158772,8.0,2.0,0.9281181550844825,COMPLETE
89,0.11716401006166043,2022-04-20 03:10:44.875985,2022-04-20 03:12:08.040673,0 days 00:01:23.164688,10.0,370.0,0.012447041268876143,0.07756941653587678,8.0,2.0,0.9244249865299805,COMPLETE
92,0.11716479724533772,2022-04-20 03:14:45.719382,2022-04-20 03:16:07.881856,0 days 00:01:22.162474,10.0,340.0,0.015241295997323694,0.07924406827681678,8.0,2.0,0.9591853861574984,COMPLETE
95,0.1172387146306402,2022-04-20 03:18:51.538535,2022-04-20 03:20:13.185233,0 days 00:01:21.646698,10.0,320.0,0.0027452548549150324,0.07325205870028403,7.0,2.0,0.9277203217142398,COMPLETE
90,0.11731153458674244,2022-04-20 03:12:08.040807,2022-04-20 03:13:30.584643,0 days 00:01:22.543836,10.0,370.0,0.014015177581616573,0.07234514017815478,8.0,2.0,0.9275772307670679,COMPLETE
87,0.11733930798861456,2022-04-20 03:07:59.706460,2022-04-20 03:09:22.592619,0 days 00:01:22.886159,10.0,370.0,0.014885124324492648,0.06654239696842523,8.0,2.0,0.9140081135665654,COMPLETE
96,0.11765386799668816,2022-04-20 03:20:13.185385,2022-04-20 03:21:34.274880,0 days 00:01:21.089495,10.0,320.0,0.006424984707163931,0.07844656901191001,6.0,2.0,0.9401367966646939,COMPLETE
84,0.11771156173926901,2022-04-20 03:03:55.894026,2022-04-20 03:05:19.898284,0 days 00:01:24.004258,10.0,410.0,0.013151400890586553,0.045142171400970724,9.0,3.0,0.9699452660610163,COMPLETE
48,0.11775387630899148,2022-04-20 02:15:36.890724,2022-04-20 02:17:00.533290,0 days 00:01:23.642566,10.0,400.0,0.0003987497837811233,0.060845368297700236,10.0,6.0,0.9961635236261293,COMPLETE
83,0.11779465944691957,2022-04-20 03:02:32.595987,2022-04-20 03:03:55.893888,0 days 00:01:23.297901,10.0,410.0,0.01312779205189025,0.045024976505835125,9.0,4.0,0.9663435671635491,COMPLETE
52,0.1179337735885732,2022-04-20 02:21:05.279576,2022-04-20 02:22:30.295825,0 days 00:01:25.016249,10.0,450.0,0.0003571874663791205,0.06816841034295693,11.0,5.0,0.8300293416869363,COMPLETE
46,0.11797372701570666,2022-04-20 02:12:46.869498,2022-04-20 02:14:11.494166,0 days 00:01:24.624668,10.0,450.0,4.8865025585390645e-05,0.0584539480870502,15.0,7.0,0.8057676941651868,COMPLETE
78,0.1180967202379759,2022-04-20 02:55:45.427688,2022-04-20 02:57:08.967259,0 days 00:01:23.539571,10.0,390.0,0.03804312861664533,0.045883739925824375,9.0,3.0,0.8958976003636394,COMPLETE
75,0.11827680659876094,2022-04-20 02:51:39.715384,2022-04-20 02:53:01.272271,0 days 00:01:21.556887,9.0,430.0,0.03245926164050589,0.0437117746120076,11.0,3.0,0.9993339033930392,COMPLETE
43,0.118295807064027,2022-04-20 02:08:31.564985,2022-04-20 02:09:56.719823,0 days 00:01:25.154838,10.0,460.0,5.698991027105982e-05,0.04862225734537711,13.0,9.0,0.7881902016649083,COMPLETE
65,0.11883597214157403,2022-04-20 02:38:47.732665,2022-04-20 02:40:06.495779,0 days 00:01:18.763114,10.0,220.0,2.3754505756925584e-05,0.09777027262621883,5.0,4.0,0.8920811026549125,COMPLETE
