iteration,logloss,datetime_start,datetime_complete,duration,depth,n_estimators,l2_leaf_reg,learning_rate,min_data_in_leaf,one_hot_max_size,scale_pos_weight,state
98,0.11501822853029044,2022-04-20 15:43:24.823675,2022-04-20 15:44:46.147381,0 days 00:01:21.323706,9,400,0.026335488094232425,0.07836898903729032,11,6,0.9793364716341348,COMPLETE
62,0.11515854316174691,2022-04-20 14:54:03.451722,2022-04-20 14:55:27.550794,0 days 00:01:24.099072,10,420,0.003516232054603891,0.06875228245388944,13,4,0.9926293861485582,COMPLETE
57,0.11517115361197154,2022-04-20 14:47:02.465589,2022-04-20 14:48:27.156025,0 days 00:01:24.690436,10,410,0.004271229087993399,0.0693145382680917,12,4,0.9605639304941986,COMPLETE
60,0.1153403806090428,2022-04-20 14:51:15.536872,2022-04-20 14:52:39.379629,0 days 00:01:23.842757,10,410,0.0071213741671669875,0.06776170955876445,13,4,0.9645212980057679,COMPLETE
75,0.11535219699952734,2022-04-20 15:11:57.535893,2022-04-20 15:13:21.559951,0 days 00:01:24.024058,10,380,0.0065638918148485026,0.07362235058937738,14,2,0.8634745549831537,COMPLETE
91,0.11539417998831582,2022-04-20 15:33:52.680190,2022-04-20 15:35:15.190060,0 days 00:01:22.509870,10,330,0.09900228438216385,0.08209629016614306,13,5,0.9746361092433579,COMPLETE
92,0.11542440550522323,2022-04-20 15:35:15.190200,2022-04-20 15:36:38.485876,0 days 00:01:23.295676,10,330,0.014073787470100876,0.07687063877959249,12,5,0.9755662059856582,COMPLETE
63,0.1154799207293437,2022-04-20 14:55:27.550916,2022-04-20 14:56:51.805336,0 days 00:01:24.254420,10,410,0.0037759756103821042,0.0988519135451175,13,6,0.9856930909594992,COMPLETE
82,0.11549213124749934,2022-04-20 15:21:30.937430,2022-04-20 15:22:53.415743,0 days 00:01:22.478313,10,350,0.00463127765541885,0.07598926228356277,14,6,0.974700240092464,COMPLETE
81,0.1156306412943652,2022-04-20 15:20:08.638486,2022-04-20 15:21:30.937300,0 days 00:01:22.298814,10,340,0.009537569812775907,0.08348973368664703,14,5,0.9728527610244363,COMPLETE
61,0.11566699923679244,2022-04-20 14:52:39.379758,2022-04-20 14:54:03.451584,0 days 00:01:24.071826,10,420,0.002638848903362945,0.070397531653884,13,4,0.9899669417233141,COMPLETE
71,0.11570810123036258,2022-04-20 15:06:27.435731,2022-04-20 15:07:48.795542,0 days 00:01:21.359811,10,330,0.009022404656798672,0.07494788145125778,13,4,0.9638472165746484,COMPLETE
65,0.11572136407988692,2022-04-20 14:58:13.559590,2022-04-20 14:59:36.246086,0 days 00:01:22.686496,10,350,0.002928340821854375,0.09793704986636262,13,5,0.9880408303959438,COMPLETE
66,0.11572952423103042,2022-04-20 14:59:36.246215,2022-04-20 15:00:58.047488,0 days 00:01:21.801273,10,340,0.010514487427321632,0.09956010813485504,13,5,0.989056358450679,COMPLETE
97,0.11580119320908927,2022-04-20 15:42:00.649660,2022-04-20 15:43:24.823535,0 days 00:01:24.173875,10,360,0.08335071698511057,0.0562810542063574,10,3,0.9325169359258951,COMPLETE
73,0.1158131970504857,2022-04-20 15:09:10.571602,2022-04-20 15:10:32.613436,0 days 00:01:22.041834,10,360,0.003634766956728206,0.06543304932387266,13,5,0.9998021072708309,COMPLETE
68,0.11588237850378363,2022-04-20 15:02:20.320819,2022-04-20 15:03:41.545903,0 days 00:01:21.225084,10,320,0.006074152292062098,0.09979877772142556,13,4,0.9584123590085728,COMPLETE
77,0.11593718710286306,2022-04-20 15:14:43.088024,2022-04-20 15:16:08.418852,0 days 00:01:25.330828,10,380,0.0019315940995720353,0.07065871829898003,12,2,0.9534211317832266,COMPLETE
64,0.11599580932422426,2022-04-20 14:56:51.805458,2022-04-20 14:58:13.559451,0 days 00:01:21.753993,10,340,0.002926982801432729,0.0984592346216691,13,7,0.9974343897630499,COMPLETE
83,0.11600848864346965,2022-04-20 15:22:53.415880,2022-04-20 15:24:15.296720,0 days 00:01:21.880840,10,320,0.004586552539028223,0.07229724970818721,15,7,0.9393656033723217,COMPLETE
87,0.1160681664238141,2022-04-20 15:28:20.606801,2022-04-20 15:29:43.012582,0 days 00:01:22.405781,10,350,0.00663764996584979,0.06995433514524656,14,4,0.8473901183761632,COMPLETE
58,0.11629475802553742,2022-04-20 14:48:27.156141,2022-04-20 14:49:51.635685,0 days 00:01:24.479544,10,410,0.001089325108816262,0.06429574490979502,12,6,0.9666439867278593,COMPLETE
94,0.11649312258406234,2022-04-20 15:38:00.412564,2022-04-20 15:39:21.684119,0 days 00:01:21.271555,10,280,0.004605157026971769,0.07826110327545231,15,6,0.922992814161687,COMPLETE
51,0.11673306935515865,2022-04-20 14:39:05.818178,2022-04-20 14:40:26.229836,0 days 00:01:20.411658,8,480,2.3036531521558945e-08,0.056727796459669515,8,6,0.8288662658289025,COMPLETE
33,0.1168628311632827,2022-04-20 14:15:16.972768,2022-04-20 14:16:37.082462,0 days 00:01:20.109694,8,460,1.4629839749410644e-08,0.06891986319258438,11,3,0.9147107518031541,COMPLETE
93,0.1169583908458332,2022-04-20 15:36:38.486034,2022-04-20 15:38:00.412427,0 days 00:01:21.926393,10,310,0.04438803125467661,0.056173935439346935,12,7,0.8776931049583248,COMPLETE
42,0.11700726713710533,2022-04-20 14:27:14.587671,2022-04-20 14:28:34.788738,0 days 00:01:20.201067,8,480,5.576445609530698e-08,0.05143160176454012,8,4,0.9276063610827158,COMPLETE
74,0.11709791035906,2022-04-20 15:10:32.613572,2022-04-20 15:11:57.535762,0 days 00:01:24.922190,10,400,0.02211327644989339,0.039942291267819764,13,4,0.8956867417047107,COMPLETE
34,0.1171247709603515,2022-04-20 14:16:37.082570,2022-04-20 14:17:57.589546,0 days 00:01:20.506976,8,450,1.7759920378770783e-08,0.05100303450284316,11,3,0.9258207622890561,COMPLETE
24,0.11712889793210374,2022-04-20 14:03:28.624996,2022-04-20 14:04:47.700657,0 days 00:01:19.075661,10,230,1.0458738981531225e-08,0.08960223122547825,14,6,0.8650579626928917,COMPLETE
32,0.11747055769366337,2022-04-20 14:13:57.917675,2022-04-20 14:15:16.972651,0 days 00:01:19.054976,8,470,1.0450060717737223e-08,0.04762771313733335,11,3,0.9232124431381249,COMPLETE
41,0.11755547248269153,2022-04-20 14:25:54.236427,2022-04-20 14:27:14.587560,0 days 00:01:20.351133,8,480,2.086856020706807e-08,0.06021587065499155,8,6,0.8196403782648681,COMPLETE
45,0.117588635923376,2022-04-20 14:31:15.349133,2022-04-20 14:32:35.043856,0 days 00:01:19.694723,8,470,1.8237623947463506e-08,0.04591385706868501,10,2,0.9443430257446537,COMPLETE
44,0.11779819706287457,2022-04-20 14:29:53.608298,2022-04-20 14:31:15.349018,0 days 00:01:21.740720,9,430,1.3098671484436795e-07,0.09251930389823423,11,3,0.7442495683522088,COMPLETE
59,0.11807475400850581,2022-04-20 14:49:51.635810,2022-04-20 14:51:15.536753,0 days 00:01:23.900943,10,400,0.003377219705100074,0.03332566946419833,12,9,0.9668077586495111,COMPLETE
84,0.118075127523793,2022-04-20 15:24:15.296876,2022-04-20 15:25:36.549658,0 days 00:01:21.252782,9,430,0.0008910016704152247,0.04208949263183741,14,6,0.9049656069145596,COMPLETE
90,0.11815631319530666,2022-04-20 15:32:28.719406,2022-04-20 15:33:52.680055,0 days 00:01:23.960649,10,370,0.0011082692393948252,0.03813886183526327,15,2,0.9346547673482931,COMPLETE
80,0.1182049375655477,2022-04-20 15:18:44.898683,2022-04-20 15:20:08.638356,0 days 00:01:23.739673,10,370,6.775379043307556e-05,0.039781900375322664,16,3,0.8687113664318907,COMPLETE
70,0.11852275882299339,2022-04-20 15:05:04.257630,2022-04-20 15:06:27.435582,0 days 00:01:23.177952,10,380,0.0015758494030566586,0.034752254657549435,15,8,0.8881478403015961,COMPLETE
31,0.11866910754075392,2022-04-20 14:12:40.707881,2022-04-20 14:13:57.917569,0 days 00:01:17.209688,8,290,2.097841947473936e-08,0.07080347324287334,15,6,0.8055348426463114,COMPLETE
99,0.1186878345495717,2022-04-20 15:44:46.147515,2022-04-20 15:46:07.130118,0 days 00:01:20.982603,9,380,0.03649953935863389,0.038357977095709025,11,6,0.9731610447926304,COMPLETE
36,0.11888701138853276,2022-04-20 14:19:16.325801,2022-04-20 14:20:34.668872,0 days 00:01:18.343071,7,460,1.0213925323734797e-08,0.04568543237170855,11,3,0.8955255750271136,COMPLETE
96,0.11892591454923326,2022-04-20 15:40:38.215849,2022-04-20 15:42:00.649516,0 days 00:01:22.433667,9,440,0.0005256912480960356,0.032442563836202316,12,5,0.9041525904821811,COMPLETE
54,0.11903775282589565,2022-04-20 14:43:03.874335,2022-04-20 14:44:21.861881,0 days 00:01:17.987546,7,430,2.173507319607826e-08,0.05069223610492105,11,7,0.8205795937017435,COMPLETE
3,0.11919232316813913,2022-04-20 13:36:29.997436,2022-04-20 13:37:45.491442,0 days 00:01:15.494006,8,210,5.275977252603533e-07,0.08975727340271593,19,5,0.8238077621846621,COMPLETE
39,0.11922699443838934,2022-04-20 14:23:13.745922,2022-04-20 14:24:32.367052,0 days 00:01:18.621130,7,480,2.113784514286511e-06,0.04742693812320606,9,5,0.7702602980931337,COMPLETE
53,0.11976024583624274,2022-04-20 14:41:43.908434,2022-04-20 14:43:03.874178,0 days 00:01:19.965744,8,490,7.088049752146363e-08,0.03243356141463757,6,2,0.8719620936750352,COMPLETE
67,0.11986020683585781,2022-04-20 15:00:58.047603,2022-04-20 15:02:20.320676,0 days 00:01:22.273073,10,350,0.015169149011743351,0.029443043855242265,16,5,0.9762068611629736,COMPLETE
88,0.12051827785913957,2022-04-20 15:29:43.012725,2022-04-20 15:31:07.631742,0 days 00:01:24.619017,10,410,0.056799173424272334,0.025941336050446375,13,11,0.7949644286424549,COMPLETE
20,0.12078211295412543,2022-04-20 13:58:12.601502,2022-04-20 13:59:32.135308,0 days 00:01:19.533806,9,360,9.310805052774045e-06,0.03298349336475224,2,19,0.8519072906981434,COMPLETE
11,0.12094604310970986,2022-04-20 13:46:48.287202,2022-04-20 13:48:03.687680,0 days 00:01:15.400478,6,280,3.957757873934068e-08,0.07915230921956658,15,7,0.7903287230586484,COMPLETE
21,0.1210099406206175,2022-04-20 13:59:32.135426,2022-04-20 14:00:52.426162,0 days 00:01:20.290736,9,370,9.878029485274468e-06,0.03105529396180179,2,20,0.8588601220359142,COMPLETE
78,0.12207502594169443,2022-04-20 15:16:08.419009,2022-04-20 15:17:29.532188,0 days 00:01:21.113179,9,390,0.00036908129613177725,0.02579426409125903,15,12,0.9099644226590099,COMPLETE
48,0.12221307572485925,2022-04-20 14:35:09.595900,2022-04-20 14:36:32.629545,0 days 00:01:23.033645,9,500,1.1007884211708167e-08,0.0196094677200569,13,3,0.8928990547592061,COMPLETE
72,0.12231787623154272,2022-04-20 15:07:48.795674,2022-04-20 15:09:10.571475,0 days 00:01:21.775801,10,330,0.011785428158084674,0.024327774131402777,14,4,0.9595936752370678,COMPLETE
79,0.12290640689075318,2022-04-20 15:17:29.532312,2022-04-20 15:18:44.898548,0 days 00:01:15.366236,4,410,0.038879292262850654,0.06830479750114164,12,4,0.944485156836873,COMPLETE
22,0.12485965688009232,2022-04-20 14:00:52.426276,2022-04-20 14:02:08.991621,0 days 00:01:16.565345,8,290,0.0002384928739533444,0.03589505453125469,11,16,0.7193117248579413,COMPLETE
25,0.1259063336199763,2022-04-20 14:04:47.700769,2022-04-20 14:06:06.884327,0 days 00:01:19.183558,10,230,1.0877114016411063e-05,0.027514917200553917,12,4,0.8891224832951373,COMPLETE
95,0.12685489167263983,2022-04-20 15:39:21.684268,2022-04-20 15:40:38.215688,0 days 00:01:16.531420,10,110,0.015431908605387571,0.05002948283686333,14,5,0.9743489870940626,COMPLETE
76,0.12755021313619955,2022-04-20 15:13:21.560093,2022-04-20 15:14:43.087892,0 days 00:01:21.527799,9,420,0.006141000749411977,0.014658895388991955,14,2,0.8579708326635103,COMPLETE
40,0.12812540588632476,2022-04-20 14:24:32.367179,2022-04-20 14:25:54.236319,0 days 00:01:21.869140,9,440,1.8868657554342818e-08,0.02272068992379846,12,5,0.542553673317647,COMPLETE
