iteration,logloss,datetime_start,datetime_complete,duration,depth,n_estimators,l2_leaf_reg,learning_rate,min_data_in_leaf,one_hot_max_size,scale_pos_weight,state
52,0.1604086870767486,2022-05-13 07:06:50.583015,2022-05-13 07:08:25.880561,0 days 00:01:35.297546,10,290,1.0901217292554234e-05,0.0751512132184808,8,14,0.9977759070485601,COMPLETE
84,0.16042108179727405,2022-05-13 07:57:14.258533,2022-05-13 07:58:50.103699,0 days 00:01:35.845166,10,310,3.20591128897987e-06,0.0793588415244549,13,17,0.8691676991091404,COMPLETE
68,0.16063312737975247,2022-05-13 07:31:59.624199,2022-05-13 07:33:35.005860,0 days 00:01:35.381661,10,280,9.67872066067004e-06,0.09904141949761378,12,17,0.9427351591830553,COMPLETE
91,0.1606998821314764,2022-05-13 08:08:15.149929,2022-05-13 08:09:51.289368,0 days 00:01:36.139439,10,330,3.234135776836103e-06,0.085756852792771,13,16,0.9343357941942635,COMPLETE
69,0.16077305172666104,2022-05-13 07:33:35.005984,2022-05-13 07:35:10.167786,0 days 00:01:35.161802,10,280,1.444161113091845e-05,0.0992885897809993,14,17,0.9596962719279524,COMPLETE
57,0.16088120410021553,2022-05-13 07:14:46.557449,2022-05-13 07:16:22.241236,0 days 00:01:35.683787,10,330,5.862907205914983e-06,0.09827554390708881,9,10,0.8464022725891648,COMPLETE
98,0.16114892371498393,2022-05-13 08:19:24.903288,2022-05-13 08:21:01.191461,0 days 00:01:36.288173,10,340,8.497819006786115e-06,0.07694036066211295,11,16,0.9261463106518145,COMPLETE
81,0.16120022183898663,2022-05-13 07:52:29.096647,2022-05-13 07:54:05.060947,0 days 00:01:35.964300,10,330,2.3902850326002708e-06,0.09907317958430698,14,16,0.8953441211464154,COMPLETE
71,0.16121450865492676,2022-05-13 07:36:43.844801,2022-05-13 07:38:18.409949,0 days 00:01:34.565148,10,280,5.7739983441159275e-06,0.0980759027802138,14,17,0.9414817561102201,COMPLETE
53,0.16136685121677352,2022-05-13 07:08:25.880670,2022-05-13 07:10:00.842730,0 days 00:01:34.962060,10,290,1.2313612625251502e-05,0.07036096040228462,8,14,0.8965428017913798,COMPLETE
80,0.16139294503733456,2022-05-13 07:50:52.807951,2022-05-13 07:52:29.096523,0 days 00:01:36.288572,10,330,1.8440983165554119e-06,0.09895889689487095,14,16,0.8933925907913761,COMPLETE
24,0.16142670926352973,2022-05-13 06:24:01.846240,2022-05-13 06:25:34.251678,0 days 00:01:32.405438,9,240,6.626720288769417e-06,0.09660846480688581,8,15,0.9469289881240881,COMPLETE
96,0.1616272855423062,2022-05-13 08:16:16.960263,2022-05-13 08:17:49.706779,0 days 00:01:32.746516,9,320,7.419606717954791e-05,0.09498801590674141,13,15,0.835360559013246,COMPLETE
94,0.16172023386047465,2022-05-13 08:13:01.950581,2022-05-13 08:14:39.386809,0 days 00:01:37.436228,10,360,1.3488956566379789e-05,0.08241431079918808,12,17,0.8961047345317624,COMPLETE
70,0.16209972635391295,2022-05-13 07:35:10.167903,2022-05-13 07:36:43.844685,0 days 00:01:33.676782,10,240,5.271981292498572e-06,0.09555063854514878,14,20,0.944881048869061,COMPLETE
21,0.16221707165527732,2022-05-13 06:19:24.508889,2022-05-13 06:20:56.781118,0 days 00:01:32.272229,9,270,8.313819897477727e-06,0.08726802897757888,12,15,0.803664595765178,COMPLETE
97,0.16223784416844675,2022-05-13 08:17:49.706912,2022-05-13 08:19:24.903129,0 days 00:01:35.196217,10,300,2.7062283169909157e-06,0.05553934458394763,15,17,0.9996216226026666,COMPLETE
55,0.16246978816312968,2022-05-13 07:11:35.490854,2022-05-13 07:13:10.515784,0 days 00:01:35.024930,10,320,3.553076232454897e-05,0.07003892933380214,8,12,0.9116729244747257,COMPLETE
20,0.16290913912697103,2022-05-13 06:17:52.479245,2022-05-13 06:19:24.508799,0 days 00:01:32.029554,9,260,9.31602932733667e-06,0.07520780540461285,12,15,0.8025510139392027,COMPLETE
51,0.16300601527979208,2022-05-13 07:05:17.174618,2022-05-13 07:06:50.582902,0 days 00:01:33.408284,10,250,2.3722434217950003e-06,0.059563565366062145,8,15,0.9550435047891302,COMPLETE
58,0.16308967460839083,2022-05-13 07:16:22.241350,2022-05-13 07:17:59.686487,0 days 00:01:37.445137,10,380,5.563503240177247e-06,0.09964041928201987,7,7,0.8452831860074785,COMPLETE
95,0.16319616049967187,2022-05-13 08:14:39.386941,2022-05-13 08:16:16.960122,0 days 00:01:37.573181,10,390,2.910604726024846e-05,0.040240670481229215,14,19,0.9673509927728476,COMPLETE
63,0.16325219072950412,2022-05-13 07:24:13.817532,2022-05-13 07:25:48.517161,0 days 00:01:34.699629,10,290,0.00021919634260865359,0.06830853349791566,8,14,0.9993818704987952,COMPLETE
32,0.1635472275155986,2022-05-13 06:36:17.055750,2022-05-13 06:37:51.776537,0 days 00:01:34.720787,10,270,2.515449581917724e-07,0.05163042923109517,10,14,0.9530907761908946,COMPLETE
61,0.16357681504990326,2022-05-13 07:21:06.003945,2022-05-13 07:22:40.834744,0 days 00:01:34.830799,10,300,1.55318565044716e-05,0.06975182756765455,12,9,0.8780722518180037,COMPLETE
82,0.16410408115459768,2022-05-13 07:54:05.061071,2022-05-13 07:55:40.130880,0 days 00:01:35.069809,10,330,1.7977906548833155e-06,0.0626154108079249,13,16,0.8968570213697618,COMPLETE
85,0.1645349288359294,2022-05-13 07:58:50.103820,2022-05-13 08:00:25.860422,0 days 00:01:35.756602,10,310,2.3572110472404985e-06,0.04203482547448538,13,17,0.8597958577452451,COMPLETE
74,0.164612595863038,2022-05-13 07:41:26.774389,2022-05-13 07:43:02.272280,0 days 00:01:35.497891,10,290,5.371701236440435e-06,0.04235465324920409,16,18,0.9436210854471474,COMPLETE
75,0.16501793015551983,2022-05-13 07:43:02.272400,2022-05-13 07:44:35.106193,0 days 00:01:32.833793,10,240,1.0707552940875508e-05,0.06328667300101502,14,17,0.9968053795869731,COMPLETE
73,0.1651585806319382,2022-05-13 07:39:53.000462,2022-05-13 07:41:26.774273,0 days 00:01:33.773811,10,240,1.4381115042520786e-05,0.048492847086217275,15,17,0.9735129940110827,COMPLETE
64,0.16515864607097128,2022-05-13 07:25:48.517277,2022-05-13 07:27:22.939869,0 days 00:01:34.422592,9,370,5.903333080367878e-05,0.03738636134167432,6,13,0.9054025610400618,COMPLETE
72,0.16558793014526488,2022-05-13 07:38:18.410074,2022-05-13 07:39:53.000345,0 days 00:01:34.590271,10,280,5.205938217762473e-06,0.09988177777130157,15,20,0.9388838218398239,COMPLETE
