iteration,logloss,datetime_start,datetime_complete,duration,depth,n_estimators,l2_leaf_reg,learning_rate,min_data_in_leaf,one_hot_max_size,scale_pos_weight,state
58,0.16052631650893134,2022-05-14 12:31:28.674318,2022-05-14 12:33:07.087235,0 days 00:01:38.412917,9.0,400.0,0.09068084631501748,0.09709794282866532,20.0,7.0,0.8156227654890045,COMPLETE
75,0.16063331277609302,2022-05-14 12:59:01.852021,2022-05-14 13:00:40.458200,0 days 00:01:38.606179,9.0,440.0,0.04404753842138404,0.07064235839589521,19.0,5.0,0.9008038801324286,COMPLETE
96,0.16065961806497198,2022-05-14 13:33:35.427589,2022-05-14 13:35:14.952976,0 days 00:01:39.525387,9.0,430.0,0.03367238587419715,0.07047091538992695,16.0,7.0,0.9179822922448051,COMPLETE
74,0.16121324964245684,2022-05-14 12:57:23.069310,2022-05-14 12:59:01.851889,0 days 00:01:38.782579,9.0,440.0,0.042665786983983135,0.06976264747140806,19.0,5.0,0.8401214207867412,COMPLETE
86,0.16138935089573306,2022-05-14 13:16:59.751912,2022-05-14 13:18:38.730543,0 days 00:01:38.978631,9.0,460.0,0.055691117759807174,0.06604200175838844,17.0,8.0,0.7792878424820352,COMPLETE
84,0.16159898739674397,2022-05-14 13:13:42.645400,2022-05-14 13:15:21.388168,0 days 00:01:38.742768,9.0,430.0,0.05567384918437082,0.07244803929866449,18.0,8.0,0.7752620932794851,COMPLETE
85,0.1615992649740268,2022-05-14 13:15:21.388310,2022-05-14 13:16:59.751773,0 days 00:01:38.363463,9.0,400.0,0.060507317163186636,0.0722504860617664,18.0,8.0,0.7782255946671441,COMPLETE
90,0.16167755078040516,2022-05-14 13:23:37.045104,2022-05-14 13:25:16.552552,0 days 00:01:39.507448,9.0,460.0,0.021824441369620265,0.054406281003928206,18.0,6.0,0.863173614388803,COMPLETE
57,0.16194138529291904,2022-05-14 12:29:50.783791,2022-05-14 12:31:28.674193,0 days 00:01:37.890402,9.0,400.0,3.2426461193699865e-08,0.09837337531559567,20.0,7.0,0.8197059518608337,COMPLETE
93,0.16202603692599937,2022-05-14 13:28:35.974116,2022-05-14 13:30:15.344742,0 days 00:01:39.370626,9.0,460.0,0.05179866424215509,0.04984285599786179,17.0,6.0,0.848309206456381,COMPLETE
83,0.16204429273024631,2022-05-14 13:12:04.799540,2022-05-14 13:13:42.645268,0 days 00:01:37.845728,9.0,400.0,0.0633646344161173,0.07153701390063169,19.0,7.0,0.773457328527671,COMPLETE
98,0.16233093254154363,2022-05-14 13:36:54.249046,2022-05-14 13:38:33.890796,0 days 00:01:39.641750,9.0,460.0,0.0368537736071554,0.04783884108796882,17.0,9.0,0.860869775573166,COMPLETE
91,0.16240413437284476,2022-05-14 13:25:16.552681,2022-05-14 13:26:55.684273,0 days 00:01:39.131592,9.0,450.0,0.024023419611649974,0.04953174216186371,15.0,6.0,0.8450250510764099,COMPLETE
66,0.162416748408752,2022-05-14 12:44:27.573646,2022-05-14 12:46:03.720708,0 days 00:01:36.147062,8.0,400.0,0.013753169915868214,0.06854254669472766,20.0,7.0,0.8250569769410203,COMPLETE
61,0.16266928503553507,2022-05-14 12:36:21.998654,2022-05-14 12:37:58.397557,0 days 00:01:36.398903,8.0,400.0,0.08593107923560028,0.09692329475433907,20.0,3.0,0.6985211613155643,COMPLETE
60,0.16277500617430915,2022-05-14 12:34:45.113359,2022-05-14 12:36:21.998530,0 days 00:01:36.885171,8.0,400.0,0.07617301596165939,0.08955271675096008,20.0,5.0,0.708747504369142,COMPLETE
59,0.16300561760605042,2022-05-14 12:33:07.087363,2022-05-14 12:34:45.113236,0 days 00:01:38.025873,9.0,420.0,0.006757256396051141,0.09054928954840034,20.0,7.0,0.7040344533754884,COMPLETE
55,0.16300868628860415,2022-05-14 12:26:36.773094,2022-05-14 12:28:13.760686,0 days 00:01:36.987592,9.0,360.0,1.0005945221469186e-08,0.0649479943910092,19.0,7.0,0.8175917424572634,COMPLETE
46,0.16307071775742057,2022-05-14 11:41:12.528267,2022-05-14 11:42:51.454639,0 days 00:01:38.926372,10.0,410.0,1.0718086375197874e-08,0.05375054590905357,19.0,13.0,0.8185812766841374,COMPLETE
94,0.16319327246919935,2022-05-14 13:30:15.344874,2022-05-14 13:31:55.099818,0 days 00:01:39.754944,9.0,460.0,0.04776068139171983,0.05391445466678089,18.0,6.0,0.73437196463624,COMPLETE
63,0.16377735665273296,2022-05-14 12:39:35.167968,2022-05-14 12:41:13.790217,0 days 00:01:38.622249,9.0,410.0,0.0067203696025391205,0.07003269612106025,20.0,4.0,0.6998823764913956,COMPLETE
87,0.1640463921108932,2022-05-14 13:18:38.730677,2022-05-14 13:20:18.592602,0 days 00:01:39.861925,9.0,460.0,0.03360885721597121,0.04402371306210651,17.0,8.0,0.7736833808920963,COMPLETE
11,0.1640464572244581,2022-05-14 03:59:40.919089,2022-05-14 04:01:25.128256,0 days 00:01:44.209167,7.0,430.0,6.821546276740228e-07,0.09349684484058787,20.0,8.0,0.709290177140069,COMPLETE
64,0.16417080125143454,2022-05-14 12:41:13.790337,2022-05-14 12:42:49.778635,0 days 00:01:35.988298,8.0,400.0,0.09190317209960429,0.0951958845030119,20.0,3.0,0.6402677320981648,COMPLETE
95,0.16435937379823456,2022-05-14 13:31:55.100014,2022-05-14 13:33:35.427458,0 days 00:01:40.327444,9.0,480.0,0.06378971860829874,0.038917778976130406,17.0,6.0,0.7835478515480696,COMPLETE
