iteration,logloss,datetime_start,datetime_complete,duration,depth,n_estimators,l2_leaf_reg,learning_rate,min_data_in_leaf,one_hot_max_size,scale_pos_weight,state
77,0.16077926723702146,2022-05-14 13:10:13.197053,2022-05-14 13:11:33.122542,0 days 00:01:19.925489,9.0,480.0,0.07404503355378537,0.0688601566813868,15.0,4.0,0.9103350118040557,COMPLETE
84,0.16088217176797276,2022-05-14 13:19:18.968720,2022-05-14 13:20:38.227781,0 days 00:01:19.259061,9.0,470.0,0.011455432278194469,0.07523423035111723,14.0,5.0,0.8787310435155731,COMPLETE
72,0.16098128955290725,2022-05-14 13:03:20.994157,2022-05-14 13:04:51.894282,0 days 00:01:30.900125,9.0,500.0,0.01598976489027238,0.06267537520860593,14.0,11.0,0.9653532539749295,COMPLETE
82,0.16119966956657303,2022-05-14 13:16:40.691123,2022-05-14 13:17:59.717235,0 days 00:01:19.026112,9.0,450.0,0.03999882115911087,0.06412624793028336,14.0,4.0,0.9726053057028641,COMPLETE
95,0.16132557298059902,2022-05-14 14:14:00.185684,2022-05-14 14:15:17.986432,0 days 00:01:17.800748,8.0,470.0,3.248924078725856e-08,0.09968893231861896,16.0,6.0,0.9108934868400868,COMPLETE
98,0.16147275741385583,2022-05-14 14:17:53.352915,2022-05-14 14:19:10.643204,0 days 00:01:17.290289,8.0,460.0,7.800489574538606e-08,0.0960973194529134,15.0,6.0,0.9824632572873271,COMPLETE
91,0.1616269567523717,2022-05-14 14:08:51.733508,2022-05-14 14:10:09.681815,0 days 00:01:17.948307,8.0,500.0,3.994450146043905e-08,0.07872057759566245,15.0,5.0,0.8984153957839004,COMPLETE
69,0.1616345961663462,2022-05-14 12:58:47.151371,2022-05-14 13:00:19.890302,0 days 00:01:32.738931,9.0,500.0,0.06394658682759892,0.056109779858755426,14.0,12.0,0.911202265510356,COMPLETE
19,0.16167262127821566,2022-05-14 11:31:58.148631,2022-05-14 11:33:16.370597,0 days 00:01:18.221966,10.0,370.0,0.006244453380961329,0.09682624548893348,12.0,2.0,0.9233286323844104,COMPLETE
92,0.16193608075682733,2022-05-14 14:10:09.681957,2022-05-14 14:11:26.028185,0 days 00:01:16.346228,7.0,500.0,4.174557884578912e-08,0.09914493527472322,16.0,5.0,0.8709860204045242,COMPLETE
88,0.16205975848651002,2022-05-14 14:05:01.676337,2022-05-14 14:06:19.214522,0 days 00:01:17.538185,8.0,460.0,1.260623623725115e-07,0.07599992314203596,15.0,6.0,0.98108364296106,COMPLETE
74,0.16210967023593917,2022-05-14 13:06:14.031901,2022-05-14 13:07:34.195036,0 days 00:01:20.163135,9.0,450.0,0.0073907269444803145,0.06183019881661598,13.0,12.0,0.8634304381003541,COMPLETE
65,0.16218095345187974,2022-05-14 12:52:48.852538,2022-05-14 12:54:19.849708,0 days 00:01:30.997170,9.0,420.0,0.050835975075712844,0.061109442178676254,13.0,11.0,0.9514936943172413,COMPLETE
63,0.16235777137879442,2022-05-14 12:49:50.116046,2022-05-14 12:51:20.561210,0 days 00:01:30.445164,9.0,400.0,0.03132768938904199,0.06124964520487404,14.0,9.0,0.959307791600446,COMPLETE
96,0.16256356759276716,2022-05-14 14:15:17.986589,2022-05-14 14:16:35.131105,0 days 00:01:17.144516,7.0,480.0,2.9519372208571795e-08,0.08175765092302084,16.0,7.0,0.9104506380218492,COMPLETE
55,0.162568207789257,2022-05-14 12:38:29.949952,2022-05-14 12:39:51.020899,0 days 00:01:21.070947,10.0,360.0,0.006661779865980054,0.06696913597772063,14.0,19.0,0.8577489777184256,COMPLETE
62,0.16260495402446834,2022-05-14 12:48:19.871484,2022-05-14 12:49:50.115847,0 days 00:01:30.244363,9.0,400.0,0.03321179517119826,0.05987353220310827,12.0,11.0,0.9477956503934879,COMPLETE
61,0.16280749281015267,2022-05-14 12:46:49.440110,2022-05-14 12:48:19.871314,0 days 00:01:30.431204,9.0,400.0,0.03558872999856326,0.05836737411540755,12.0,11.0,0.9439736867600294,COMPLETE
