iteration,logloss,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
73,0.15648935504336856,2022-05-14 04:06:04.406419,2022-05-14 04:10:16.250615,0 days 00:04:11.844196,0.7754415566007444,0.5618506319600263,0.33389373119504034,0.0429674643909927,10.0,6.0,470.0,0.01181211242876595,0.013133596584266561,0.6311353577683386,COMPLETE
86,0.1565307746639204,2022-05-14 05:01:34.406502,2022-05-14 05:05:45.751983,0 days 00:04:11.345481,0.4852751626130266,0.5249555086965872,0.24668175256045385,0.06660217924042089,10.0,7.0,470.0,0.001848663036061182,0.010927149826142056,0.8731432545358786,COMPLETE
87,0.15656958691246323,2022-05-14 05:05:45.752131,2022-05-14 05:10:00.817544,0 days 00:04:15.065413,0.4360316631665865,0.5279733791893473,0.2145202013898416,0.06623202653387104,10.0,8.0,470.0,0.0014809973696009394,0.011437119967523196,0.8894166026549581,COMPLETE
92,0.1565741346062623,2022-05-14 05:26:50.178764,2022-05-14 05:30:56.313955,0 days 00:04:06.135191,0.47503335705502103,0.6287181178702096,0.996209910262604,0.06595344295341216,10.0,7.0,440.0,0.0005791962123738982,0.022826625173228136,0.9647188836838692,COMPLETE
74,0.15660371177537144,2022-05-14 04:10:16.250806,2022-05-14 04:14:27.038587,0 days 00:04:10.787781,0.7601920589595063,0.5557467401405979,0.3637466962756016,0.03707209848635895,10.0,8.0,470.0,0.015781886792829918,0.004255816931620526,0.7442073675520889,COMPLETE
70,0.1567033297948533,2022-05-14 03:53:19.292799,2022-05-14 03:57:34.255020,0 days 00:04:14.962221,0.7340139477396089,0.6674637182415539,0.16296400013057935,0.039655606713958284,10.0,6.0,470.0,0.017310756109163133,0.01361756149738876,0.6984985936848656,COMPLETE
94,0.1567075704924377,2022-05-14 05:35:00.372609,2022-05-14 05:39:04.434428,0 days 00:04:04.061819,0.4313155355003706,0.6186529848680479,0.8549526514142839,0.06315923410464805,10.0,7.0,440.0,0.0004974952210467794,0.02475922724223861,0.7611044838910513,COMPLETE
95,0.15672934594756657,2022-05-14 05:39:04.434586,2022-05-14 05:43:08.956875,0 days 00:04:04.522289,0.42809932652167637,0.6280537419563171,0.9602761387656201,0.06489248157868421,10.0,7.0,410.0,0.00023223627756194167,0.02171916785279004,0.9527517006224469,COMPLETE
85,0.15673640514181358,2022-05-14 04:57:23.223518,2022-05-14 05:01:34.406336,0 days 00:04:11.182818,0.48077834182112467,0.5276903349884798,0.9774398785534544,0.0666882658375776,10.0,8.0,470.0,0.005468011072565145,0.012951434775998473,0.8782909686894117,COMPLETE
96,0.15682032122882072,2022-05-14 05:43:08.957063,2022-05-14 05:47:20.341376,0 days 00:04:11.384313,0.3274880597880002,0.6826924049519287,0.9060546913746367,0.06293423223312791,10.0,7.0,390.0,0.00036844712786814364,0.019700070548951214,0.9595410840714421,COMPLETE
33,0.1568270356106955,2022-05-14 01:07:00.355712,2022-05-14 01:10:58.321156,0 days 00:03:57.965444,0.5589248585105144,0.8125790509917987,2.978730342504939e-07,0.06758461236607097,10.0,5.0,350.0,0.01063148432854222,0.0045336809368611225,0.5784474494510279,COMPLETE
90,0.15687128156812052,2022-05-14 05:18:28.950077,2022-05-14 05:22:41.122541,0 days 00:04:12.172464,0.4801487147777441,0.6204060428392916,0.24483181204301002,0.08505221270517971,10.0,7.0,460.0,0.0016614657365574856,0.00705463451397869,0.8799695075486107,COMPLETE
75,0.1569203003768462,2022-05-14 04:14:27.038768,2022-05-14 04:18:43.218989,0 days 00:04:16.180221,0.7382358866837443,0.5363727681362875,0.41183505574635937,0.03789007780945286,10.0,8.0,480.0,0.011153828988164007,0.0037364552471929073,0.8124675059392807,COMPLETE
44,0.15696166406450926,2022-05-14 01:50:12.920037,2022-05-14 01:54:08.736239,0 days 00:03:55.816202,0.8755754462263707,0.9330511542948381,6.94319010384687e-08,0.05416625877459691,9.0,6.0,480.0,0.18545188071076116,0.03837503681904158,0.500714746596234,COMPLETE
97,0.15697254551823725,2022-05-14 05:47:20.341577,2022-05-14 05:51:31.024554,0 days 00:04:10.682977,0.27888163202937544,0.631861346202151,0.9564428767978272,0.06499459701044769,10.0,7.0,410.0,0.0004499259659059322,0.023711466125429105,0.9570101493550955,COMPLETE
98,0.15698413228976815,2022-05-14 05:51:31.024724,2022-05-14 05:55:40.079004,0 days 00:04:09.054280,0.40740432140013616,0.6853716266673466,0.04666438753974719,0.05970141707602601,10.0,8.0,380.0,0.00011580650288902672,0.046774700679318264,0.7684570016223844,COMPLETE
76,0.15700641450517097,2022-05-14 04:18:43.219146,2022-05-14 04:22:59.618289,0 days 00:04:16.399143,0.7349428739625405,0.5832876726109724,0.46912401415103233,0.0352803682878959,10.0,9.0,480.0,0.011791440761926444,0.0037869367348105382,0.8496554514276295,COMPLETE
93,0.15701817972562557,2022-05-14 05:30:56.314121,2022-05-14 05:35:00.372431,0 days 00:04:04.058310,0.467679838953645,0.5307321553010855,0.2258827723481909,0.09737804482477683,10.0,7.0,440.0,0.001636963275598301,0.008157877457249777,0.9614990953795634,COMPLETE
45,0.15707940191362332,2022-05-14 01:54:08.736384,2022-05-14 01:58:03.714531,0 days 00:03:54.978147,0.8215187861333548,0.922104681219178,5.501905155806327e-07,0.0475981063336864,9.0,6.0,480.0,0.10961988635889248,0.03319111934084979,0.4862636635682067,COMPLETE
