iteration,logloss,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
96,0.1556816257479766,2022-04-15 17:35:12.040897,2022-04-15 17:38:14.812741,0 days 00:03:02.771844,0.8658556225641232,0.6435687156554164,1.4929524957185062e-07,0.04559185785030217,9.0,4.0,420.0,3.2574198366523637e-05,1.1776056469365516e-07,0.8503758084259609,COMPLETE
73,0.15577448744045325,2022-04-15 16:17:29.658508,2022-04-15 16:20:26.483417,0 days 00:02:56.824909,0.9453976933514601,0.5945036350200881,0.1325641241196812,0.07562881283795429,8.0,2.0,420.0,6.517435496113269e-06,0.0003343142107896108,0.9419588967315974,COMPLETE
94,0.15587034608817196,2022-04-15 17:29:19.381630,2022-04-15 17:32:17.697417,0 days 00:02:58.315787,0.9028519333767826,0.6325486385295579,1.175388760359357e-08,0.06706795568949851,8.0,1.0,420.0,1.3860525283032843e-05,2.3751288370559196e-07,0.9512051187348924,COMPLETE
97,0.15591030770463038,2022-04-15 17:38:14.812915,2022-04-15 17:41:17.297526,0 days 00:03:02.484611,0.8675128486891979,0.6480647490601539,1.2031359858711216e-08,0.043703239249114,9.0,4.0,420.0,1.4461391915927779e-05,1.1158271323308755e-07,0.8776857884320917,COMPLETE
99,0.15599383372846626,2022-04-15 17:44:21.686004,2022-04-15 17:47:24.454264,0 days 00:03:02.768260,0.8801400254745532,0.64822830174632,4.9223693700575236e-08,0.04083055675427555,9.0,4.0,420.0,1.689308512434003e-05,1.1656878964173755e-08,0.8539021489262482,COMPLETE
46,0.15600373400933765,2022-04-15 14:58:30.589970,2022-04-15 15:01:31.551454,0 days 00:03:00.961484,0.9094261036853394,0.5384671660775204,0.04701743261401695,0.09705388315333915,10.0,3.0,280.0,0.027503111671719645,4.825815728537318e-07,0.9835903184276064,COMPLETE
71,0.15609408760177151,2022-04-15 16:11:38.613225,2022-04-15 16:14:33.457693,0 days 00:02:54.844468,0.9704154876078622,0.5857532498128512,0.14448053171129804,0.07990786762001797,8.0,1.0,350.0,1.0030658481113993e-05,5.963902286180361e-05,0.9427691880763043,COMPLETE
50,0.15612712694395708,2022-04-15 15:10:24.593606,2022-04-15 15:13:19.613498,0 days 00:02:55.019892,0.9448495045254957,0.5086044546586276,0.8270461394011751,0.09971111889544992,8.0,1.0,330.0,2.529016596390628e-05,5.1631650550864e-07,0.9958463413963544,COMPLETE
81,0.15615970806631288,2022-04-15 16:41:19.474085,2022-04-15 16:44:15.629838,0 days 00:02:56.155753,0.9665879359315093,0.5883781452368771,0.09759498210787286,0.07950108105812455,8.0,1.0,350.0,1.1727631964172954e-05,0.00019691553996013846,0.9273717341456348,COMPLETE
92,0.15618660427092915,2022-04-15 17:23:25.050886,2022-04-15 17:26:21.780691,0 days 00:02:56.729805,0.9733462014642631,0.5977498383801753,0.07290160885587739,0.07543583153213017,8.0,1.0,350.0,1.1334794824349793e-05,2.4555976444576636e-07,0.9436218713620563,COMPLETE
93,0.15621151705931774,2022-04-15 17:26:21.780846,2022-04-15 17:29:19.381470,0 days 00:02:57.600624,0.9121433782815583,0.6474999443168615,0.05363808608531094,0.06464165324862878,8.0,1.0,390.0,1.0053506700892214e-05,2.36790972124327e-07,0.9319102849772087,COMPLETE
51,0.15621997146125988,2022-04-15 15:13:19.613631,2022-04-15 15:16:14.548797,0 days 00:02:54.935166,0.9395120396164951,0.5086604677772959,0.36065684020178007,0.08901685520784021,8.0,1.0,330.0,2.794714487718325e-05,4.854339644392647e-07,0.9848799689572183,COMPLETE
74,0.15625604990181896,2022-04-15 16:20:26.483539,2022-04-15 16:23:23.980416,0 days 00:02:57.496877,0.9624386552113592,0.5900891947375393,0.13915132133336086,0.05972164386069647,8.0,2.0,400.0,5.868305660723182e-06,0.0002468680557813088,0.9382506029919496,COMPLETE
53,0.15627923619727596,2022-04-15 15:19:10.447922,2022-04-15 15:22:04.854886,0 days 00:02:54.406964,0.9531753026756226,0.5416971820998139,0.08408471306096495,0.08958070220051469,8.0,1.0,320.0,3.1238564195217954e-06,8.933461604101173e-07,0.9465328327907274,COMPLETE
49,0.1562864875594133,2022-04-15 15:07:28.235173,2022-04-15 15:10:24.593475,0 days 00:02:56.358302,0.9329664279477218,0.5061801482280142,0.6183303425550781,0.09008897605475644,8.0,1.0,330.0,7.636904313521555e-05,6.232442193656441e-07,0.9927462214521661,COMPLETE
69,0.1563411862076373,2022-04-15 16:05:50.563723,2022-04-15 16:08:45.819245,0 days 00:02:55.255522,0.96860305949088,0.5830245310070141,0.07821098852006407,0.07552497794558935,8.0,1.0,350.0,1.1723153707733022e-05,1.7297849123199845e-06,0.9422097722819684,COMPLETE
