iteration,logloss,datetime_start,datetime_complete,duration,bagging_freq,colsample_bytree,lambda_l1,lambda_l2,learning_rate,max_depth,min_child_samples,min_gain_to_split,n_estimators,num_leaves,subsample,state
96,0.15543013608277806,2022-05-13 18:54:42.680881,2022-05-13 18:57:38.221153,0 days 00:02:55.540272,10.0,0.4757810009639875,1.705801617730491e-08,6.230256501405558e-05,0.05021079866201762,10.0,440.0,0.7203173054362948,490.0,760.0,0.729486406738026,COMPLETE
88,0.15546745087551517,2022-05-13 18:30:48.531839,2022-05-13 18:33:47.343464,0 days 00:02:58.811625,10.0,0.5614833059397039,2.3058465949861977e-07,4.8519259310697834e-05,0.04256209542151997,10.0,450.0,0.30902103041394335,480.0,780.0,0.7890396758793813,COMPLETE
49,0.1556609996845549,2022-05-13 16:52:01.442298,2022-05-13 16:54:25.113981,0 days 00:02:23.671683,10.0,0.457736046136425,2.850273883524769e-08,7.463821510994986e-05,0.05178037178892772,11.0,480.0,0.6669323764821897,480.0,880.0,0.8497782489433339,COMPLETE
90,0.15566365398259735,2022-05-13 18:36:56.747928,2022-05-13 18:39:54.208059,0 days 00:02:57.460131,10.0,0.49891612353234216,1.2730544843298816e-08,5.756585475730353e-05,0.04628917527436501,10.0,410.0,0.9159868893478265,500.0,760.0,0.7333623848429712,COMPLETE
95,0.15569344424993864,2022-05-13 18:51:50.018872,2022-05-13 18:54:42.680662,0 days 00:02:52.661790,10.0,0.45611626886086715,1.3686436232370995e-08,5.3018879826257835e-05,0.05299964340331349,10.0,460.0,0.4249244381980781,470.0,720.0,0.7402936037460875,COMPLETE
56,0.1557418215567986,2022-05-13 17:08:25.513103,2022-05-13 17:10:50.493652,0 days 00:02:24.980549,10.0,0.4751009898541798,2.5419101653996772e-08,0.0007339949087458249,0.03668506435045448,10.0,500.0,0.1851883603875133,500.0,900.0,0.9301474857714559,COMPLETE
93,0.155824403390985,2022-05-13 18:45:56.923476,2022-05-13 18:48:53.601609,0 days 00:02:56.678133,10.0,0.46428542907442033,1.5695610704223585e-08,0.003408613992118327,0.04734397800471893,10.0,480.0,0.3322331027619422,470.0,740.0,0.7348369618556722,COMPLETE
72,0.15589353001696388,2022-05-13 17:43:28.623172,2022-05-13 17:45:32.941946,0 days 00:02:04.318774,10.0,0.4131621447107099,3.7811900848402946e-07,0.014815419354357985,0.061427000982738636,9.0,490.0,0.369826737947899,430.0,820.0,0.6640259085229709,COMPLETE
46,0.1560418875958049,2022-05-13 16:44:18.119388,2022-05-13 16:46:32.960603,0 days 00:02:14.841215,9.0,0.4944268204681245,1.8419934356240303e-07,3.851706741202776e-05,0.052707514351150946,11.0,500.0,1.5144469388481654,480.0,940.0,0.9284364332318917,COMPLETE
44,0.15604529647692958,2022-05-13 16:39:57.155834,2022-05-13 16:42:09.648511,0 days 00:02:12.492677,9.0,0.5527798347789127,1.8366029389897597e-07,1.3651728454742958e-05,0.06069419479386279,12.0,500.0,1.2569203863401013,430.0,900.0,0.9236593350348525,COMPLETE
83,0.15607127431473622,2022-05-13 18:17:14.514848,2022-05-13 18:20:08.660982,0 days 00:02:54.146134,10.0,0.4706452557431077,1.0395145371722869e-08,0.05035765258679595,0.06847317354960482,8.0,480.0,0.3020866553940502,450.0,960.0,0.7363116615755249,COMPLETE
94,0.1561100678166075,2022-05-13 18:48:53.601839,2022-05-13 18:51:50.018698,0 days 00:02:56.416859,10.0,0.4550924741025267,1.6613524297858808e-08,0.0030659191601255338,0.04117778108816879,10.0,460.0,0.4147184216422112,470.0,720.0,0.7345826213142822,COMPLETE
99,0.15613514660760613,2022-05-13 19:12:09.854741,2022-05-13 19:14:25.347742,0 days 00:02:15.493001,10.0,0.4512520248465858,1.527922046500663e-08,0.0002888971383467962,0.04968725942950352,10.0,420.0,1.2547300642519308,480.0,620.0,0.7806181549597818,COMPLETE
74,0.156145075127701,2022-05-13 17:47:35.951703,2022-05-13 17:49:48.087166,0 days 00:02:12.135463,10.0,0.5751454081052402,9.190346052075736e-08,0.010853285115665207,0.040173355558250266,10.0,450.0,1.4333232044923152,450.0,820.0,0.706001959748086,COMPLETE
66,0.1561661177038775,2022-05-13 17:31:22.292932,2022-05-13 17:33:20.896408,0 days 00:01:58.603476,10.0,0.49471108875939857,1.5175692901473213e-07,0.00897086329562179,0.07184677143533998,9.0,480.0,0.018252624678871232,390.0,860.0,0.6028433683415231,COMPLETE
45,0.15622520953506994,2022-05-13 16:42:09.648626,2022-05-13 16:44:18.119273,0 days 00:02:08.470647,9.0,0.5501656824115455,8.446897140336638e-07,1.5088137469492328e-05,0.059443336680121715,12.0,500.0,1.5380450426190055,430.0,920.0,0.9365637832614371,COMPLETE
71,0.15622539637098495,2022-05-13 17:41:24.380680,2022-05-13 17:43:28.623036,0 days 00:02:04.242356,10.0,0.4147688735037519,1.4907818830399674e-07,0.0055199081073704645,0.06986399030047746,9.0,470.0,1.129011212347207,440.0,920.0,0.6882621664939207,COMPLETE
65,0.15628874841753596,2022-05-13 17:29:17.652094,2022-05-13 17:31:22.292786,0 days 00:02:04.640692,10.0,0.4530090482968104,1.602311241045613e-07,0.005073175427894596,0.0744536796354242,9.0,470.0,0.9841822232191876,440.0,900.0,0.9172493466176187,COMPLETE
64,0.15635816864925142,2022-05-13 17:27:10.471985,2022-05-13 17:29:17.651972,0 days 00:02:07.179987,10.0,0.44383134433234034,1.49511072580423e-07,0.004425952783154735,0.06024591716032566,9.0,470.0,1.2164248133662385,440.0,900.0,0.8715523055061006,COMPLETE
