iteration,logloss,datetime_start,datetime_complete,duration,bagging_freq,colsample_bytree,lambda_l1,lambda_l2,learning_rate,max_depth,min_child_samples,min_gain_to_split,n_estimators,num_leaves,subsample,state
77,0.1572238449213347,2022-05-14 02:04:04.796626,2022-05-14 02:06:15.787930,0 days 00:02:10.991304,3.0,0.635285514560008,1.3029782119754172e-07,0.0002413971452677512,0.03830194394038319,12.0,180.0,1.5823200718581192,490.0,200.0,0.5198597730238229,COMPLETE
93,0.15730982470630878,2022-05-14 02:37:33.352193,2022-05-14 02:39:43.161193,0 days 00:02:09.809000,3.0,0.7349859599313846,1.0063948023824976e-06,0.00021196963921658302,0.043615026217723785,12.0,150.0,1.0382078797220191,480.0,200.0,0.5333281000923311,COMPLETE
67,0.1574317028470132,2022-05-13 23:12:38.425745,2022-05-13 23:15:28.731308,0 days 00:02:50.305563,3.0,0.7088087267528054,2.785884590450968e-08,0.00017834755935188006,0.03498104163757321,12.0,220.0,0.919164393267833,480.0,160.0,0.5215493908295432,COMPLETE
69,0.15754379642128874,2022-05-13 23:18:17.650716,2022-05-13 23:21:11.213689,0 days 00:02:53.562973,3.0,0.6919197404454408,1.1373681704359339e-07,0.00011007572140672421,0.03619817773779718,12.0,180.0,0.6666346752879898,460.0,220.0,0.5546259880365692,COMPLETE
75,0.15757161358543145,2022-05-14 01:59:47.069041,2022-05-14 02:01:56.562541,0 days 00:02:09.493500,3.0,0.6570842058723405,1.614668542634014e-08,0.00029511300885724567,0.03438097430542393,12.0,180.0,1.6446163691791504,470.0,200.0,0.5155729560044789,COMPLETE
94,0.15766912052231738,2022-05-14 02:39:43.161338,2022-05-14 02:41:54.275098,0 days 00:02:11.113760,3.0,0.7341359439381483,1.4584797758328536e-07,0.00021397444725479973,0.03160084579592654,12.0,150.0,0.9821964415151774,480.0,200.0,0.5330593021501405,COMPLETE
76,0.15768425799014796,2022-05-14 02:01:56.562706,2022-05-14 02:04:04.796473,0 days 00:02:08.233767,3.0,0.6373251514613363,1.2318763465326368e-07,0.00030001922587987557,0.03708090883074035,12.0,180.0,1.902872127470138,470.0,180.0,0.5615437563992138,COMPLETE
70,0.15771544442902727,2022-05-13 23:21:11.213877,2022-05-13 23:23:59.964273,0 days 00:02:48.750396,3.0,0.6897426591926973,1.7903260140964032e-08,0.00010646813905968114,0.03436396787098259,12.0,180.0,0.6177921322277773,460.0,160.0,0.548988109939823,COMPLETE
66,0.15775189681556973,2022-05-13 23:09:45.235160,2022-05-13 23:12:38.425572,0 days 00:02:53.190412,4.0,0.6878161044111537,1.7996847335394855e-08,0.000167661934678054,0.033236735271089696,12.0,200.0,1.738537720609414,460.0,240.0,0.5307371767843071,COMPLETE
72,0.15777994009896087,2022-05-13 23:26:48.098996,2022-05-13 23:29:36.782765,0 days 00:02:48.683769,3.0,0.689600548820033,1.6423698019459495e-08,8.836004440289187e-05,0.034363029486853026,12.0,180.0,1.5992492620704462,460.0,160.0,0.5524626768960892,COMPLETE
95,0.15778849359327213,2022-05-14 02:41:54.275237,2022-05-14 02:44:03.587012,0 days 00:02:09.311775,3.0,0.7295106782144286,3.861489351667697e-07,7.05644241224107e-05,0.04507135827084502,12.0,150.0,1.876233024790152,480.0,200.0,0.537619800048137,COMPLETE
71,0.1578544034419988,2022-05-13 23:23:59.964438,2022-05-13 23:26:48.098822,0 days 00:02:48.134384,3.0,0.693906357240617,1.7844398601026702e-08,0.00023278144443764396,0.03281644415423169,12.0,180.0,0.7750082538280001,460.0,160.0,0.5227457919944992,COMPLETE
99,0.15785808573304352,2022-05-14 02:50:27.434022,2022-05-14 02:52:38.936108,0 days 00:02:11.502086,3.0,0.5893055699902533,5.1449151889072924e-08,0.00017458515159052035,0.044669123378214576,12.0,190.0,2.079836141815263,500.0,240.0,0.5647506879105854,COMPLETE
