iteration,logloss,datetime_start,datetime_complete,duration,bagging_freq,colsample_bytree,lambda_l1,lambda_l2,learning_rate,max_depth,min_child_samples,min_gain_to_split,n_estimators,num_leaves,subsample,state
64,0.15540949738871707,2022-04-15 16:55:04.477148,2022-04-15 16:59:19.319111,0 days 00:04:14.841963,10.0,0.49755830308037124,5.053197000578153e-06,0.003921759530983894,0.06479189363617201,9.0,210.0,0.5881276349454116,490.0,260.0,0.5587350009428307,COMPLETE
63,0.1555379290836573,2022-04-15 16:50:51.115924,2022-04-15 16:55:04.476969,0 days 00:04:13.361045,10.0,0.5053789888032508,3.646296909002641e-06,0.0010554683761119033,0.06494105925371221,10.0,210.0,0.534434527444216,480.0,280.0,0.5570353935407693,COMPLETE
83,0.15555808279737618,2022-04-15 18:12:19.839779,2022-04-15 18:16:24.116905,0 days 00:04:04.277126,10.0,0.42009849902042723,9.83396369136512e-07,0.0015905028218207965,0.06588878394845309,9.0,230.0,1.0285408942402503,470.0,200.0,0.5626659908557416,COMPLETE
62,0.1555654110278549,2022-04-15 16:46:36.248716,2022-04-15 16:50:51.115757,0 days 00:04:14.867041,10.0,0.4978710839447005,5.166853230678754e-06,0.0009790226530642528,0.06767502071339446,10.0,200.0,0.511149295977962,480.0,260.0,0.5608519849991527,COMPLETE
93,0.1556060131652935,2022-04-15 18:53:07.779449,2022-04-15 18:57:08.751658,0 days 00:04:00.972209,10.0,0.48802338265031686,8.252099231508637e-07,0.09433803902582563,0.06940390210974948,9.0,230.0,0.7146968660505717,470.0,160.0,0.5747392682633116,COMPLETE
82,0.15564474671858708,2022-04-15 18:08:18.197814,2022-04-15 18:12:19.839639,0 days 00:04:01.641825,10.0,0.5125494080261028,8.878559721365844e-07,0.004757734458904532,0.06456015601115675,9.0,220.0,1.069896386068749,460.0,240.0,0.5327091550198567,COMPLETE
73,0.155658695180738,2022-04-15 17:32:04.661185,2022-04-15 17:36:08.344193,0 days 00:04:03.683008,10.0,0.507427689931036,5.151927890735371e-07,0.006374316121456032,0.058617450990989806,9.0,260.0,1.4641244705270662,460.0,240.0,0.5213254227343624,COMPLETE
24,0.15572661197484675,2022-04-15 13:54:16.584503,2022-04-15 13:58:27.938196,0 days 00:04:11.353693,9.0,0.7883605703879095,7.93914668167478e-05,0.0019962096391798775,0.04462039294983362,12.0,150.0,2.0394428507292295,410.0,340.0,0.9102422870658222,COMPLETE
52,0.15573009549344086,2022-04-15 15:46:58.651693,2022-04-15 15:51:16.308677,0 days 00:04:17.656984,8.0,0.5650136368701691,2.106925703751482e-05,5.772198621571345e-05,0.03950520085494277,10.0,160.0,1.4507214132856963,410.0,440.0,0.9199467481896202,COMPLETE
67,0.15573626100628848,2022-04-15 17:07:35.104004,2022-04-15 17:11:38.903771,0 days 00:04:03.799767,10.0,0.43968842522406204,5.793203963633303e-07,0.036606801486459645,0.06459514122509451,8.0,240.0,0.5639931846626381,490.0,280.0,0.5505621431023342,COMPLETE
68,0.15577789013832205,2022-04-15 17:11:38.903923,2022-04-15 17:15:44.735624,0 days 00:04:05.831701,10.0,0.47681505918483147,4.285913164223393e-06,0.03287320509161129,0.09811836269251491,9.0,230.0,0.5888336646245884,490.0,180.0,0.6210995075918552,COMPLETE
72,0.15579070138721166,2022-04-15 17:27:59.542314,2022-04-15 17:32:04.661046,0 days 00:04:05.118732,10.0,0.5065690044320245,6.255165703434965e-07,0.005007226064543825,0.06446585077032277,9.0,220.0,1.3193977150804084,460.0,240.0,0.5310915057614676,COMPLETE
95,0.15585191315113125,2022-04-15 19:01:06.091314,2022-04-15 19:05:10.099485,0 days 00:04:04.008171,10.0,0.5124139636635925,7.67477149381674e-07,0.06364176118080936,0.04418357724433398,9.0,180.0,0.850024447690876,460.0,220.0,0.5342027588108076,COMPLETE
74,0.15585354416078998,2022-04-15 17:36:08.344344,2022-04-15 17:40:18.006466,0 days 00:04:09.662122,10.0,0.4872449675981245,3.8107426265737022e-06,0.010134437717462008,0.04077206347642287,9.0,260.0,0.009833503075197036,500.0,200.0,0.5003969495202358,COMPLETE
94,0.15586445560326867,2022-04-15 18:57:08.751817,2022-04-15 19:01:06.091137,0 days 00:03:57.339320,10.0,0.48712155689418524,1.3348217876937457e-06,0.09441900772589744,0.06361876523702945,8.0,210.0,1.05432989655262,470.0,180.0,0.569914471518323,COMPLETE
55,0.1558913069340448,2022-04-15 15:58:29.692315,2022-04-15 16:02:37.892192,0 days 00:04:08.199877,9.0,0.462770109268218,1.6706861789897866e-06,0.0038854619675808793,0.07699462435371775,12.0,160.0,1.1332196352111694,430.0,440.0,0.9212888135488814,COMPLETE
92,0.15592409249781247,2022-04-15 18:49:07.009643,2022-04-15 18:53:07.779288,0 days 00:04:00.769645,10.0,0.47391200556506663,3.813622384448944e-06,0.011279578028790415,0.0986805694337399,9.0,230.0,0.350339745246697,480.0,140.0,0.7195827388484815,COMPLETE
96,0.15593391374108237,2022-04-15 19:05:10.099649,2022-04-15 19:08:58.937910,0 days 00:03:48.838261,9.0,0.7107799464407925,3.273250763096278e-07,2.2998325531698496e-07,0.07499810190163758,10.0,220.0,1.207444038567834,440.0,100.0,0.5836408943391376,COMPLETE
66,0.15595213383193837,2022-04-15 17:03:35.131979,2022-04-15 17:07:35.103852,0 days 00:03:59.971873,10.0,0.4343413326486735,6.663187854364836e-07,0.009775855372235338,0.07017274900618216,8.0,240.0,0.5159493341159268,470.0,280.0,0.546770728278256,COMPLETE
69,0.15595394650986708,2022-04-15 17:15:44.735777,2022-04-15 17:19:49.041861,0 days 00:04:04.306084,10.0,0.4444876523823039,3.348381017179717e-06,0.03712097155634599,0.09958553725848646,9.0,250.0,0.5574309216682484,490.0,160.0,0.6146755875917436,COMPLETE
41,0.15602707480963104,2022-04-15 15:02:44.040898,2022-04-15 15:06:56.041947,0 days 00:04:12.001049,8.0,0.5663373039580815,5.159457991044178e-05,7.331202855916166e-05,0.041484153128424864,11.0,200.0,2.6272229376238876,410.0,340.0,0.9166014531288929,COMPLETE
84,0.1560632840106471,2022-04-15 18:16:24.117050,2022-04-15 18:20:23.845898,0 days 00:03:59.728848,10.0,0.4163771631666235,8.784880147088026e-07,0.0013728795267803373,0.0593680541279029,8.0,220.0,0.935447221468001,470.0,220.0,0.5611360621971139,COMPLETE
88,0.1561451876891371,2022-04-15 18:32:28.437102,2022-04-15 18:36:30.125362,0 days 00:04:01.688260,10.0,0.5487636168743039,1.911920016390251e-06,0.00809785786665447,0.04683682466592487,8.0,180.0,0.36685919563613384,480.0,760.0,0.5135741985345241,COMPLETE
61,0.15625656860904136,2022-04-15 16:42:29.207883,2022-04-15 16:46:36.248553,0 days 00:04:07.040670,10.0,0.49404238593500954,5.465952793871278e-06,0.0012211892874675338,0.06609923835839117,10.0,210.0,2.242644437168965,480.0,280.0,0.5919924539966726,COMPLETE
25,0.15632216585812816,2022-04-15 13:58:27.938322,2022-04-15 14:02:26.696040,0 days 00:03:58.757718,8.0,0.7966979046490478,6.733755202825814e-05,0.001456656659329781,0.04350381499584326,12.0,170.0,1.8774221246746776,370.0,200.0,0.9041560912806224,COMPLETE
54,0.15632257449357537,2022-04-15 15:54:37.770215,2022-04-15 15:58:29.692169,0 days 00:03:51.921954,9.0,0.4595408432751384,2.054633794645046e-06,0.00038255831416254637,0.09399466506067856,12.0,130.0,1.1878198802640714,450.0,360.0,0.9304252865878418,COMPLETE
56,0.1564386308241375,2022-04-15 16:02:37.892335,2022-04-15 16:06:31.808808,0 days 00:03:53.916473,9.0,0.4581291140768255,9.843681911476024e-07,0.002756682112143473,0.08204549323857421,12.0,120.0,1.9433882475582007,440.0,580.0,0.9327924751564619,COMPLETE
58,0.1564807902832053,2022-04-15 16:11:12.962956,2022-04-15 16:15:45.675078,0 days 00:04:32.712122,9.0,0.40553872244708233,2.685861543139157e-06,0.02206652207728793,0.08788423368409755,12.0,100.0,0.003935883531289708,460.0,540.0,0.888901601813768,COMPLETE
89,0.1567163716190856,2022-04-15 18:36:30.125509,2022-04-15 18:40:48.432608,0 days 00:04:18.307099,9.0,0.5026386378837054,9.062786201833786e-08,0.001682356344038012,0.028287859588421692,10.0,250.0,1.3687064609496291,500.0,280.0,0.517963753356839,COMPLETE
85,0.15672742012833812,2022-04-15 18:20:23.846048,2022-04-15 18:24:33.400325,0 days 00:04:09.554277,10.0,0.43860120412804926,4.073629544991903e-07,0.0007075154205386847,0.038977017221034325,10.0,260.0,2.3133427822401087,430.0,300.0,0.553055732317265,COMPLETE
34,0.1567928123921775,2022-04-15 14:35:00.215185,2022-04-15 14:39:18.532500,0 days 00:04:18.317315,8.0,0.5312551879525554,0.0003338963705054007,0.00011712492118812526,0.030180230305910553,11.0,170.0,0.9844423518503564,410.0,360.0,0.9116044148574242,COMPLETE
32,0.15679562805104624,2022-04-15 14:26:09.342060,2022-04-15 14:30:22.180492,0 days 00:04:12.838432,8.0,0.5501002037137165,5.475032582317651e-05,6.969379114983474e-05,0.032848653012605054,11.0,140.0,2.8031290356055583,400.0,340.0,0.9126750989116961,COMPLETE
81,0.15686533545926662,2022-04-15 18:03:54.611950,2022-04-15 18:08:18.197667,0 days 00:04:23.585717,10.0,0.5192698516296927,2.3415403740569435e-05,0.02952459224591096,0.027527925630725533,10.0,180.0,1.4240756985087137,460.0,900.0,0.5141488734726247,COMPLETE
87,0.1569060741549497,2022-04-15 18:28:40.242892,2022-04-15 18:32:28.436946,0 days 00:03:48.194054,9.0,0.5261966102170403,1.1717490024530561e-06,0.0031341029827477583,0.07294722837269642,7.0,190.0,1.931752264305347,440.0,240.0,0.5802664763406321,COMPLETE
91,0.15694071582071617,2022-04-15 18:44:59.415477,2022-04-15 18:49:07.009491,0 days 00:04:07.594014,9.0,0.44953856755714755,4.765274709202133e-07,0.0005786697195403991,0.03801389093095991,10.0,240.0,2.607077536815259,420.0,260.0,0.6922147157642078,COMPLETE
31,0.15698460184397037,2022-04-15 14:21:54.666647,2022-04-15 14:26:09.341943,0 days 00:04:14.675296,8.0,0.5669179952592792,5.903226296331893e-05,5.317953267406442e-05,0.032044061565943444,11.0,190.0,3.155126280334451,410.0,320.0,0.9126533897737147,COMPLETE
28,0.15739511683287966,2022-04-15 14:09:53.590066,2022-04-15 14:14:04.579980,0 days 00:04:10.989914,7.0,0.5486614905294575,0.006092138897950997,3.1592737240325176e-05,0.03183812121533738,11.0,220.0,3.0903203887117057,370.0,340.0,0.9043386798196865,COMPLETE
14,0.15742253169168144,2022-04-15 13:16:30.536080,2022-04-15 13:20:11.764158,0 days 00:03:41.228078,9.0,0.5769167756556866,3.194760223704004e-07,0.09356024344420068,0.06407818091112882,10.0,190.0,4.456391804031146,410.0,300.0,0.9428371044380867,COMPLETE
12,0.15750240797073356,2022-04-15 13:09:20.228553,2022-04-15 13:13:00.954116,0 days 00:03:40.725563,10.0,0.75542605889477,1.5074700079699014e-05,0.000624350642384798,0.06532432315075028,10.0,110.0,4.782445248336403,430.0,1000.0,0.9451738385494628,COMPLETE
98,0.15755386048380354,2022-04-15 19:13:08.994003,2022-04-15 19:17:19.045187,0 days 00:04:10.051184,4.0,0.4928802187109473,1.6171290705822739e-06,0.001821773484634944,0.03244301219657038,10.0,260.0,0.22017010733785958,500.0,120.0,0.7379844627961125,COMPLETE
60,0.15787682811457857,2022-04-15 16:38:27.882911,2022-04-15 16:42:29.207714,0 days 00:04:01.324803,9.0,0.4298182994584367,1.264228994317783e-07,0.0003637330491799368,0.053840477692232575,12.0,160.0,5.375664153867399,440.0,400.0,0.9311315670576391,COMPLETE
13,0.15790340315601817,2022-04-15 13:13:00.954226,2022-04-15 13:16:30.535971,0 days 00:03:29.581745,10.0,0.7282576213409324,3.3167533647480457e-06,0.08637726817263322,0.08002013273504759,10.0,470.0,4.691634728148893,430.0,320.0,0.9488716032914575,COMPLETE
38,0.15793848590581827,2022-04-15 14:50:39.807439,2022-04-15 14:54:35.840485,0 days 00:03:56.033046,7.0,0.6706679522857548,0.0006410830146127395,1.6601303165496805e-05,0.03537481327642704,9.0,140.0,3.5306684720735166,430.0,140.0,0.9155739312147857,COMPLETE
17,0.15809074603568601,2022-04-15 13:28:06.529003,2022-04-15 13:31:34.348509,0 days 00:03:27.819506,9.0,0.5441488267220491,7.434130758364013e-05,0.0012759041126754011,0.09615081395685385,11.0,250.0,3.8405034173918446,390.0,100.0,0.9193730228547199,COMPLETE
22,0.1581578144524308,2022-04-15 13:46:08.581046,2022-04-15 13:49:46.157075,0 days 00:03:37.576029,10.0,0.5885339083298503,1.074913968901633e-06,0.06550646799714019,0.06654533705636687,11.0,450.0,6.3537063835160446,370.0,280.0,0.9436448537891973,COMPLETE
21,0.1581705195018026,2022-04-15 13:42:41.774495,2022-04-15 13:46:08.580934,0 days 00:03:26.806439,10.0,0.7278585391470097,4.925611537238318e-06,0.0806724259318608,0.09336575852266424,10.0,360.0,4.64168085381195,440.0,280.0,0.9496993668446835,COMPLETE
51,0.15838094255611604,2022-04-15 15:42:43.700959,2022-04-15 15:46:58.651560,0 days 00:04:14.950601,8.0,0.5765228633865809,5.240082031732834e-05,5.702626540451521e-05,0.024535753863425252,11.0,230.0,2.959650773992029,410.0,320.0,0.9050597408629888,COMPLETE
42,0.15889887550187864,2022-04-15 15:06:56.042078,2022-04-15 15:10:48.124135,0 days 00:03:52.082057,7.0,0.5187899879073284,0.0013257463676027493,9.501722445158716e-05,0.044215546472782176,11.0,190.0,8.8580626628686,390.0,360.0,0.9217884445799893,COMPLETE
